job_title,company,location,responsibilities,requirements,salary_from,salary_to,salary_currency,posted_date,url,category,skills,position,experience,education,salary
"Frontend-разработчик в Only (Next.js, React)",Онли,Москва,Разработка текущих клиентских проектов вместе с командой отдела разработки. Разработка клиентской части веб-приложений. Верстка страниц по макетам дизайнера.,"Уверенные знания JavaScript (ES6+). Умение верстать с нуля адаптивные интерфейсы с поддержкой современных браузеров. Уверенные знания HTML, CSS...",140000.0,,RUR,2025-04-14,https://hh.ru/vacancy/119479827,['web'],"['next.js', 'react', 'javascript']",,,,140000.0
Backend-разработчик,Хайстекс,Москва,"Написание чистого, поддерживаемого, и масштабируемого кода. - Отладка, устранение и решение проблем в кодовой базе. - Интеграция backend-сервисов с frontend-приложениями...","Уверенные знания Python. - Опыт работы с message brokers (RabbitMQ). - Опыт работы с веб-фреймворками (Tornado, Django, FastAPI, Sanic). -",,,,2025-05-12,https://hh.ru/vacancy/120386729,['backend'],"['python', 'django', 'fastapi']",,,,
Frontend разработчик React/React Native (Senior/Middle++),Эйайэксперт,Москва,"...разработчиками, дизайнерами, QA-инженерами и продакт-менеджерами. Производительность: поиск и устранение узких мест, оптимизация скорости работы и потребления ресурсов приложений.","Инструменты сборки и деплоя: опыт работы с инструментами сборки и деплоя frontend-приложений. Коммуникабельность: отличные коммуникативные навыки, способность эффективно взаимодействовать...",,,,2025-05-12,https://hh.ru/vacancy/120389773,"['web', 'mobile']","['react', 'react native']","['middle', 'senior']",,,
Full-stack QA Engineer,Альфа Капитал,Москва,"Разработка и выполнение тестовых сценариев для веб-приложения. Проведение функционального, регрессионного, интеграционного и нагрузочного тестирования. Автоматизация тестирования с использованием Java...",Имеете знание основ ООП и базовых паттернов проектирования. Понимаете принцип работы клиент-серверных приложений. Имеете опыт работы с системами контроля...,,,,2025-05-12,https://hh.ru/vacancy/120388739,['qa'],,,,,
Middle frontend developer (next.js),РБ,Москва,Участием в построении стратегии и роадмапа оптимизации проекта. Поиском новых возможностей для оптимизации проекта. Работой над задачами по оптимизации (Компоненты...,"Глубокое понимание TypeScript и Next.js, - важно иметь за плечами от 2-3 лет тесного сотрудничества с каждым инструментом.",,250000.0,RUR,2025-05-12,https://hh.ru/vacancy/120377515,['web'],"['typescript', 'next.js', 'javascript']",['middle'],3,,250000.0
IOS разработчик,ПАУЭР,Москва,"Работа над проектами в составе команды бекенд, фронтенд разработчиков и дизайнеров интерфейсов. Приоритетная задача реализовать запланированное мобильное приложение.","Умение работать с основными UI компонентами, опыт реализации кастомных View. Опыт работы с HTTP(S), REST API. Опыт работы с...",,,,2025-05-10,https://hh.ru/vacancy/120336513,['mobile'],['ios'],,,,
Manual QA Engineer (Middle),Flocktory,Москва,"Участвовать в улучшении процессов: предлагать идеи для повышения эффективности тестирования и автоматизации, анализировать метрики QA и помогать улучшать процессы, связанные...",Навыки тест-дизайна. Понимание принципов работы клиент-серверных приложений. Опыт тестирования веб-приложений. Понимание протокола HTTP/HTTPS. Опыт работы с...,,,,2025-05-07,https://hh.ru/vacancy/120318650,['qa'],,['middle'],,,
Manual QA Engineer (Gamedev),Студия Кефир,Москва,"Функциональное тестирование (игровых механик, проверка обновлений внутриигрового магазина, аналитики). Регрессионное тестирование. Составление тестовой документации. Воспроизведение отчётов об ошибках от игроков.","Опыт в ручном тестировании от 1 года. Навык тестирования клиентской части мобильных приложений. Знание игровых движков (Unity, Unreal Engine).",,,,2025-05-12,https://hh.ru/vacancy/118962879,['qa'],,,1,,
Senior/Middle Frontend Developer (JavaScript),Битрикс24,Москва,"Разрабатывать пользовательские интерфейсы приложений и сервисов. Писать безопасный, производительный и архитектурный код на нашем стеке технологий. Улучшать существующие интерфейсы, оптимизировать...","Стремились учиться и развиваться. Интересуетесь новыми технологиями во фронтенде. Представляете, как устроены современные фреймворки и библиотеки изнутри. Знакомы с инструментами...",,300000.0,RUR,2025-05-12,https://hh.ru/vacancy/120390858,['web'],['javascript'],"['middle', 'senior']",,,300000.0
Python разработчик / Python Developer,Aston,Москва,"...спринтов в рамках SCRUM. Сопровождение и документирование кода. Code Review и менторинг. Взаимодействие с аналитиками, тестировщиками, frontend-разработчиками и дизайнерами.",Современный стек технологий. Опыт работы в роли Python Developer от 2-х лет. Глубокое знание Python 3.12+.,,,,2025-05-12,https://hh.ru/vacancy/120386630,['backend'],['python'],,2,,
Frontend-разработчик (Лукоморье),Ростелеком Информационные Технологии,Москва,"Проведение код-ревью. Оценка трудоемкости задач. Взаимодействие с другими командами: backend-разработчиками; тестировщиками, аналитиками. Разработка экранов по макетам Figma, взаимодействие...","Отличное знание JavaScript, HTML, CSS. Опыт работы с любым CSS препроцессором: SASS, LESS, Stylus. Уверенное знание TypeScript. Хорошее знание библиотеки...",,,,2025-04-30,https://hh.ru/vacancy/120114103,['web'],"['typescript', 'javascript']",,,,
Директор по цифровой трансформации (CDTO),Кадровое Бюро Охота,Москва,"Разработка и внедрение стратегии цифровой трансформации в соответствии с общими целями компании, включая развитие банковских направлений. Анализ текущих бизнес-процессов...","...SAP системах и т. д. Широкий кругозор в области ИТ, отличное понимание принципов работы серверных систем, баз данных, информационной безопасности.",,,,2025-05-02,https://hh.ru/vacancy/120166622,['security'],,,,,
QA Engineer / Тестировщик,Верный Код,Москва,Проводить ручное тестирование клиентской и серверной части приложения. — Тестировать API-интерфейсы и взаимодействие между фронтом и бэком. — Выполнять тестирование пользовательских...,"Опыт ручного тестирования веб-приложений (фронтенд на React, бэкенд на NestJS). — Знание принципов работы REST и GraphQL API, уверенная работа...",,,,2025-05-10,https://hh.ru/vacancy/120354973,"['web', 'qa', 'backend']",['react'],,,,
Frontend-разработчик,Antal Talent,Москва,"Разработка UI/UX интерфейсы, визуализация справочников, запуск процессов, отчёты.","Желательно знание предметной области в области финансов, понимание как работает backend. Опыт(по крайней мере понимание) работы с FX, blockchain.",,,,2025-05-06,https://hh.ru/vacancy/120266553,"['web', 'backend']",,,,,
Видеомонтажер / Режиссёр / Режиссер монтажа,Коробко Антон Александрович,Москва,"Работа с AI-платформами для создания синтетических персонажей, голосов и анимации (например, Synthesia, D-ID, Descript, Murf.ai, Runway ML, klingai...","Глубокие знания в режиссуре и сценарном деле. Понимание, как правильно интерпретировать синопсис и превратить его в режиссёрский сценарий для дальнейшей...",1500.0,3500.0,EUR,2025-05-12,https://hh.ru/vacancy/120391331,,,,,,2500.0
Frontend-разработчик,ГНИВЦ,Москва,"Создание новых компонентов интерфейса на платформе React.js. Рефакторинг существующего кода. Взаимодействие с бэкендом (работа с FastAPI, Tanstack Query).","Понимание принципов удобства интерфейсов и доступности приложений, понимание user flow и базовых подходов к дизайну взаимодействия пользователей с приложением.",,,,2025-05-06,https://hh.ru/vacancy/120295456,['web'],,,,,
Middle QA Engineer,ИТ-Экспертиза,Москва,"...развитии окружения для тестирования. Ведение тестовой документации. Консультирование специалистов 1-й линии, разбор сложных ситуаций, воспроизведение программных ошибок для разработчиков.","Знание техник тест-дизайна и навыки грамотного их применения на практике, понимание специфики тестирования десктопного ПО и web-приложений.",,,,2025-04-28,https://hh.ru/vacancy/120025680,"['web', 'qa']",,['middle'],,,
Manual QA engineer,Finstar Financial Group,Москва,Подготовка тестовых данных. Анализ результатов тестирования и предоставление своевременной отчетности. Сотрудничество с командой разработчиков и тестировщиков для обеспечения непрерывного улучшения...,Опыт тестирования сложных систем – от 3 лет. Опыт тестирования внешних интеграций – от 1 года. Знание процессов разработки ПО при разных...,,,,2025-05-05,https://hh.ru/vacancy/120227969,['qa'],,,3,,
QA Engineer Manual,WebBee,Москва,"Проведение функционального, системного, регрессионного, smoke и приемочного тестирования. Локализация, заведение и контроль исправления дефектов. Разработка и сопровождение тестовой модели.",Понимаешь различные методологий разработки ПО. У тебя есть опыт работы в финансовой сфере\ ИТ компании\ банковской сфере от 2-х...,,,,2025-04-21,https://hh.ru/vacancy/119780414,['qa'],,,,,
React developer,ИЦ АЙ-ТЕКО,Москва,Стек проекта: БД Postgres. Брокер очередей Kafka.,В связи с активным развитием проектов в компании открыта вакансия Frontend react-разработчик. Ищем сотрудника с высшим техническим образованием (профиль...,200000.0,220000.0,RUR,2025-05-05,https://hh.ru/vacancy/120223111,['web'],['react'],,,,210000.0
Фронтенд-разработчик на React,The Limbo So,Москва,"Работа со сторами Zustand, Redux. Писали тесты (jest, hermione и пр.). Работали с Docker.","Был опыт разработки проекта с нуля, работе с чатами, с сокетами и тд. Только с опытом frontend-разработки от 3...",250000.0,350000.0,RUR,2025-05-11,https://hh.ru/vacancy/120230709,['web'],['react'],,,,300000.0
QA инженер,Spice IT,Москва,"Анализ и оценка задач, поступающих в тестирование, на предмет готовности к тест-дизайну. Подготовка тестового набора (расширение или обновление существующей...","Высшее техническое образование. Опыт работы с JavaScript. Понимание жизненного цикла ПО, целей и видов тестирования. Знание методологии тестирования и назначения...",,,,2025-05-07,https://hh.ru/vacancy/120337226,"['web', 'qa']",['javascript'],,,,
Frontend Developer,Сравни,Москва,Разработка клиентской части веб-приложения. Разработка административной панели веб-приложения. Оценка производительности и оптимизация клиентской части приложения. Участие в обсуждениях...,Уверенные знания JavaScript/HTML/CSS. Опыт работы Typescript от 2-х лет. Опыт enterprise разработки от 2 лет на React.,,,,2025-04-17,https://hh.ru/vacancy/119637678,['web'],"['typescript', 'react', 'javascript']",,2,,
Frontend-разработчик,Aiti Guru,Москва,"...паре с back-end разработчиком, так и отдельно. Проектирование UI под требования бизнес процесса. Разработка компонентов фронтенда системы по заданным...","Опыт работы с RPC/REST. Опыт верстки. Опыт разработки RIA, SPA приложений. Опыт работы с VCS (git, mercurial и т...",80000.0,80000.0,RUR,2025-05-11,https://hh.ru/vacancy/120209292,"['tools', 'web']",['git'],,,,80000.0
"QA/Тестировщик (manual, web)",X5 Tech,Москва,"Проводить ручное тестирование программного продукта. Написание тестовой документации. Подготовка тестовых данных. Регистрировать найденные ошибки в системах дефект–трекинга, проверять исправление...",Опыт в тестировании от 2 лет. Опыт работы с Web-технологиями. Знание теории тестирования и техник тест-дизайна.,,,,2025-04-22,https://hh.ru/vacancy/119831283,"['web', 'qa']",,,2,,
Python-разработчик,ГКУ Инфогород,Москва,"Разработка и поддержка веб-приложений. Разработка и поддержка автоматизированных тестов (UI, API, интеграционные). Составление модели тестирования - порядка проверки продукта.","Опыт разработки на Python (от 2 лет). Опыт разработки веб-приложений на Flask (роутинг, RESTful API, работа с БД, шаблоны...",,,,2025-05-12,https://hh.ru/vacancy/120377861,['backend'],"['python', 'flask']",,2,,
Технический директор (ИТ),StaffRecruitment,Москва,"Разработка и реализация технической стратегии компании в области мобильной связи, включая внедрение новых технологий и решений. Управление всеми аспектами ИТ...","Глубокое понимание современных технологий мобильной связи (GSM, UMTS, LTE, 5G), сетевых архитектур и стандартов. Опыт управления крупными ИТ-проектами...",750000.0,,RUR,2025-05-05,https://hh.ru/vacancy/119296093,,,,,,750000.0
Frontend-разработчик (Middle),VisionLabs,Москва,В обязанности входит разработка SPA приложений и web-сервисов для продуктов компании.,"Необходимый опыт и знания: React JS 18+, SASS, i18next, Reduxjs + Reduxjs/toolkit, опыт работы с сайд...",,,,2025-05-05,https://hh.ru/vacancy/120223072,['web'],"['react', 'javascript']",['middle'],,,
Инженер по тестированию (QA),Т1,Москва,"Интеграционное и функциональное тестирование процессингового ПО. Взаимодействие с партнерами, разработчиками, аналитиками по вопросам интеграционного тестирования. Обнаружение, документирование и отслеживание дефектов.",Понимание принципов разработки и тестирования ПО. Навыки функционального\интеграционного тестирования. Понимание общих принципов работы реляционных БД и знание SQL на...,,,,2025-05-07,https://hh.ru/vacancy/118614943,"['qa', 'data']",['sql'],,,,
QA engineer / Тестировщик,Тендертех,Москва,"Тестировать web-приложение, API и интеграции на соответствие функциональным и нефункциональным требованиям. Помогать команде разработки анализировать и прорабатывать требования к...",Высокий уровень личной ответственности и мотивации учиться. Внимание к деталям и развитые Soft skills. Опыт тестирования web-проектов.,,,,2025-05-07,https://hh.ru/vacancy/120327991,"['web', 'qa']",,,,,
Фронтенд разработчик Junior (JavaScript),Kappa,Москва,Aura.dental — приложение для менеджмента стоматологиями и ведения клиентской информации. Поддержка и устранение неполадок в существующих проектах. Подготовка технической документации и...,Понимание важности поддерживаемого кода и стандартов написания кода. Умение работать в команде и работать самостоятельно. Готовность учиться и самосовершенствоваться через...,800.0,1000.0,USD,2025-05-10,https://hh.ru/vacancy/120355236,['web'],['javascript'],['junior'],,,900.0
UX/UI дизайнер,ЭтКонс,Москва,Проектировать UI для Web и Mobile приложений. Создание интерактивных прототипов. Построение дизайн системы для наших продуктов. Взаимодействовать с FrontEnd.,Figma. Гайдлайны iOS и Android. Собрать и продумать сценарии работы людей. Бесконечная любовь к пользователям :).,,,,2025-05-05,https://hh.ru/vacancy/120190029,['mobile'],"['ios', 'android']",,,,
QA инженер,Spice IT,Москва,"Анализ и оценка задач, поступающих в тестирование, на предмет готовности к тест-дизайну. Подготовка тестового набора (расширение или обновление существующей...","Опыт работы с JavaScript. Понимание жизненного цикла ПО, целей и видов тестирования. Знание методологии тестирования и назначения тестовой документации; Владение...",,,,2025-05-06,https://hh.ru/vacancy/120286226,"['web', 'qa']",['javascript'],,,,
Тестировщик,Кросс технолоджис,Москва,В полном соблюдении трудового и налогового законодательства. В наличии аккредитации ИТ (дающей привилегии и льготы). В поддержании рыночного уровня заработной...,"Мы тверды и решительны в своем желании достичь поставленной цели, мы с легкостью находим в себе силы для преодоления любых...",,,,2025-05-06,https://hh.ru/vacancy/120285078,['qa'],,,,,
QA Engineer,МТ-ЛАБ,Москва,"Выявление, регистрация и отслеживание дефектов в процессе. Тестирования. Сотрудничество с разработчиками для улучшения качества и. Исправления выявленных проблем.","Понимание процессов разработки ПО и умение взаимодействовать с. Разработчиками. Навыки работы с системами управления ошибками (например, Jira). Желание учиться новым...",,,,2025-05-06,https://hh.ru/vacancy/120298413,"['tools', 'qa']",['jira'],,,,
React developer (Middle+),Коллектив Интеллидженс Системс,Москва,...фронтенд-библиотек. Преобразование дизайнов и wireframes в качественный код. Оптимизация приложений для максимальной скорости и масштабируемости. Взаимодействие с backend-разработчиками...,Базовые знания Docker. Квалификация. Минимум 3 года опыта работы Front-End разработчиком с фокусом на React.js. Предпочтительно высшее образование в...,,,,2025-05-05,https://hh.ru/vacancy/120157219,"['web', 'devops']","['docker', 'react', 'javascript']",['middle'],3,Bachelor,
Директор по цифровой трансформации,StaffRecruitment,Москва,Разработка и реализация стратегии цифровой трансформации в соответствии с бизнес-целями компании. Анализ текущих бизнес-процессов и определение возможностей для...,"Высшее образование в области бизнеса, ИТ, инжиниринга или смежных дисциплин (MBA является преимуществом). Глубокое понимание современных технологий в области логистики...",900000.0,,RUR,2025-04-21,https://hh.ru/vacancy/118700041,,,,,Bachelor,900000.0
Frontend-разработчик,Группа компаний «Триумф»,Москва,Создавать и дорабатывать компоненты графического интерфейса с использованием. Технологии Web Components. Разрабатывать модули систем автоматизированного проектирования (САПР/CAD) для.,"Умеешь писать код, который приятно читать. Умеешь разбираться в чужом коде. Любишь математику и физику. Хочешь расти/развиваться/работать в...",,,,2025-05-07,https://hh.ru/vacancy/120315382,['web'],,,,,
Frontend-разработчик,Fundmates,Москва,Разработка нового frontend-приложения с нуля (React или Next.js — определим вместе). Участие в выборе архитектуры и технологического стека (state-менеджеры...,Готовность взять на себя ответственность за фронтенд-приложение. Будет плюсом: Опыт работы с Next.js и SEO-оптимизацией. Умение быстро прототипировать...,,,,2025-05-08,https://hh.ru/vacancy/120347187,['web'],"['next.js', 'javascript']",,,,
Младший специалист по тестированию (Junior QA),Электронная торговая площадка Газпромбанка,Москва,Проведение регрессионного тестирования. Тестирование по готовым тест-кейсам. Актуализация и развитие тестовой модели продукта. Создание тестовых сценариев. Локализация дефектов.,"Понимание структуры web-приложения, клиент-серверной архитектуры. Знание основ SQL. Умение пользоваться консолью разработчика (console, network). Понимание жизненного цикла разработки...",80000.0,80000.0,RUR,2025-04-17,https://hh.ru/vacancy/119658228,"['web', 'qa', 'data']",['sql'],['junior'],,,80000.0
Специалист по тестированию,Аналитические программные решения,Москва,Контроль стабильности выпускаемых версий и состава изменений в них. Запись видеоинструкций по использованию функционала. Взаимодействие с командой разработчиков для выявления...,"Знание клиент-серверной архитектуры и API (REST). Опыт тестирования веб-приложений (UI, кросс-браузерность, performance). Умение работать с DevTools (Elements...",,,,2025-04-25,https://hh.ru/vacancy/119935746,['qa'],,,,,
Старший тестировщик,Level Group,Москва,"Создавать и ввести баг-репорты, взаимодействовать с командой разработчиков для исправления найденных ошибок. Автоматизировать тестирования на Vanessa Automation.",Понимание жизненного цикла создания программного обеспечения и роли QA на каждом этапе. Знание методов и техник тестирования и умение их...,,,,2025-05-06,https://hh.ru/vacancy/120291570,['qa'],,['senior'],,,
Руководитель службы безопасности,IT-hunters,Москва,"Разработка и внедрение стратегий и политик безопасности (кадровая, экономическая) в соответствии с общими целями компании. Проведение регулярных анализов рисков, связанных...",Кандидат должен хорошо разбираться в людях и искренне их любить.,600000.0,,RUR,2025-04-16,https://hh.ru/vacancy/119254312,['security'],,,,,600000.0
Frontend-разработчик (Москва),Datanomica,Москва,"Мы — ООО «Датаномика», решаем проблемы структурирования разнородных данных, которые сложно поддаются анализу, помогаем среднему и малому бизнесу, банкам, ритейлу использовать...","Базовый опыт с Jest, React Testing Library (написание unit-тестов). Требования: Опыт работы frontend-разработчиком от 3х лет.",,,,2025-05-12,https://hh.ru/vacancy/120103196,['web'],['react'],,3,,
QA-инженер,Дивлаб,Москва,"Участие в обсуждениях с командой разработки для уточнения требований. Выполнение тестирование как frontend, так и backend функциональности. Выполнение регрессионного тестирования.","Опыт работы на позиции QA от 2 лет, предпочтительно с фокусом на тестировании как frontend, так и backend.",,,,2025-05-10,https://hh.ru/vacancy/120328485,"['web', 'qa', 'backend']",,,2,,
Ведущий frontend разработчик,Росагролизинг,Москва,Разработка и поддержка сайта на базе фреймворка Next.js со сложной системой документооборота. Написание юнит-тестов. Разработка системы сбора аналитических данных...,"Структурированное системное мышление. Коммуникабельность, стрессоустойчивость. Исполнительность, ответственность, пунктуальность. Gitlab. Docker. Nginx. RabbitMQ/Nats. Redis.",,,,2025-05-10,https://hh.ru/vacancy/120321489,"['web', 'devops']",['docker'],['senior'],,,
Разработчик веб-сайтов,Бертэн,Москва,Разработка и техническое сопровождение сайтов. Наполнение сайта контентом. Оптимизация изображений и видео для публикации. Монтаж и обработка фото- и видеоматериалов.,"Опыт программирование в frontend и backend. Активная жизненная позиция, стремление к развитию в сфере веб-проектов. Внимательность к деталям и...",150000.0,,RUR,2025-05-06,https://hh.ru/vacancy/120298451,"['web', 'backend']",,,,,150000.0
Тестировщик,НОРСИ-ТРАНС,Москва,"...и контролировать, что описанные тест-кейсы выполняются кодом разработчиков). Тестировать клиент-серверные приложения. Писать автотесты: интеграционные; сквозные (e2e...","Знание и применение на практике современных подходов и best-practices тестирования, знание принципов работы клиент-серверных приложений (REST/gRPC).",,,,2025-05-09,https://hh.ru/vacancy/120278818,['qa'],,,,,
